player_id,matches,player_name,country,domestic_team,batting_style,bowling_style,dominant_hand,primary_role,secondary_role,height_cm,weight_kg,debut_year,experience_years,matches_test,matches_odi,matches_t20,matches_fc,matches_listA,runs,balls_faced_est,runs_per_match,batting_average_est,strike_rate,dot_ball_pct,boundary_pct,boundary_runs_est,fours_est,sixes_est,balls_per_boundary_est,boundary_ball_pct_est,singles_doubles_runs_est,rotation_index,dismissals_est,not_outs_est,fifty_plus_rate_est,century_rate_est,pp_runs,middle_runs_est,death_runs,powerplay_run_share_pct,middle_run_share_pct,death_run_share_pct,pp_sr,middle_sr,death_sr,acceleration_index,phase_balance_index,powerplay_batting_index,middle_overs_batting_index,death_finishing_index,pressure_batting_index,anchor_index,power_hitter_index,red_ball_batting_fit,white_ball_batting_fit,batting_impact_score,batting_rating,wickets,overs_bowled_est,balls_bowled_est,runs_conceded_est,wkts_per_match,bowling_average_est,economy,bowling_strike_rate_est,dot_balls_bowled_est,pp_wkts,middle_wkts_est,death_wkts,pp_eco,middle_eco,death_eco,pp_over_share_pct,middle_over_share_pct,death_over_share_pct,powerplay_bowling_index,middle_overs_bowling_index,death_bowling_index,economy_control_index,wicket_impact_index,new_ball_threat_index,closing_bowler_index,red_ball_bowling_fit,white_ball_bowling_fit,bowling_impact_score,bowling_rating,catches_est,runouts_est,stumpings_est,fielding_rating,availability_score,durability_index,workload_index,last10_bat_avg_est,last10_bowl_avg_est,recent_runs_est,recent_wkts_est,batting_form_index,bowling_form_index,consistency_index,allrounder_index,clutch_index,versatility_index,match_impact_score,county_red_ball_fit,county_white_ball_fit,format_specialism,upside_score,risk_score,market_value_index,salary_band_est,scouting_grade_num,scouting_grade,analyst_recommendation
1,52,Ravindra Varma,India,Nottinghamshire,LHB,Right-arm off-spin,Left,Utility,Flexible,176,69,2009,17,6,10,18,8,10,77,61.6,1.48,1.64,125.0,30.9,17.3,13.3,2,1,20.53,4.87,63,102.27,47.0,5.0,0.0,0.49,34,26,17,44.16,33.77,22.08,123.2,126.6,127.3,53.14,77.69,84.71,97.31,79.23,73.9,83.27,82.65,59.16,96.28,49.58,63.65,42,187.1,1122,1678.0,0.81,39.95,8.97,26.72,347,14,15,13,8.59,9.32,10.33,28.0,50.0,22.0,47.44,50.4,39.68,60.96,77.21,32.84,30.28,63.48,50.13,86.68,71.74,14,3,0,89.71,88,91.47,22.77,1.47,40.09,13,8,37.01,47.46,78.71,67.7,64.84,70.27,71.06,66.54,70.7,Balanced multi-format,83.74,11.29,74.16,Strong squad asset,70.08,B,Monitor
2,53,Dom Woakes,England,Hampshire,RHB,Right-arm leg-spin,Right,Bowler,Lower-order hitter,187,74,2010,16,7,9,16,9,12,122,96.2,2.3,2.44,126.8,37.5,11.7,14.3,2,1,32.07,3.12,108,112.25,50.0,3.0,0.0,0.73,52,48,22,42.62,39.34,18.03,115.4,105.6,118.4,52.3,70.07,79.35,90.7,72.28,68.58,92.15,67.22,65.94,89.85,50.89,64.39,85,359.4,2157,2422.6,1.6,28.5,6.74,25.37,809,34,33,18,6.26,6.69,7.38,28.0,50.0,22.0,72.27,78.72,69.83,96.14,100.0,56.79,52.28,92.27,80.96,100.0,93.31,14,4,0,96.5,78,76.53,42.51,2.24,28.12,22,17,35.92,58.82,70.76,66.85,69.5,80.02,83.97,85.81,77.53,Red-ball leaning,68.15,38.79,78.73,High-value starter,83.05,A,Priority target
3,94,Cameron Zampa,Australia,Middlesex,LHB,Right-arm off-spin,Left,Bowler,Lower-order hitter,172,79,2009,17,13,16,30,16,19,244,159.6,2.6,2.77,152.9,35.6,17.0,41.5,4,4,19.95,5.01,204,127.83,88.0,6.0,0.0,0.83,90,71,83,36.89,29.1,34.02,159.0,148.9,178.9,65.26,90.2,97.34,100.0,100.0,85.98,97.39,100.0,73.39,100.0,61.6,74.15,96,418.5,2511,3251.5,1.02,33.87,7.77,26.15,894,29,47,20,6.96,7.98,8.41,28.0,50.0,22.0,63.53,66.2,58.82,80.58,86.73,47.83,43.3,78.42,68.7,100.0,86.78,23,5,0,91.16,84,85.27,28.41,2.61,32.85,26,11,46.28,59.73,83.78,68.46,77.28,82.98,83.95,80.03,71.27,Red-ball leaning,82.76,18.31,81.12,High-value starter,80.63,A,Shortlist
4,85,Mitchell Tickner,New Zealand,Leicestershire,RHB,Left-arm orthodox,Right,Bowler,Lower-order hitter,183,84,2010,16,11,15,27,15,17,47,42.4,0.55,0.59,110.8,42.6,10.2,4.8,1,0,42.42,2.36,43,101.37,80.0,5.0,0.0,0.18,16,19,12,34.04,40.43,25.53,118.5,119.7,117.0,48.85,85.06,76.72,95.3,73.54,68.21,82.15,63.39,59.28,83.54,42.66,57.03,106,455.2,2731,3691.4,1.25,34.82,8.11,25.76,1163,35,44,27,7.36,8.54,9.18,28.0,50.0,22.0,65.15,68.09,55.77,80.02,96.46,45.05,42.22,82.19,67.82,100.0,87.5,21,5,0,95.85,78,78.67,32.63,0.56,33.2,6,15,35.37,59.13,84.15,60.27,68.46,76.87,82.24,82.78,68.01,Red-ball leaning,68.83,33.15,76.04,High-value starter,79.5,A,Shortlist
5,29,Gerald Elgar,South Africa,Lancashire,LHB,Left-arm orthodox,Left,Utility,Flexible,168,68,2014,12,3,5,10,4,7,325,285.1,11.21,12.04,114.0,35.6,10.3,33.5,4,3,40.73,2.46,291,102.07,27.0,2.0,0.0,3.61,112,156,57,34.46,48.0,17.54,111.7,106.8,133.6,66.79,69.08,75.21,90.92,80.29,76.13,100.0,69.63,89.44,88.89,70.43,79.8,5,30.6,184,295.0,0.17,59.0,9.63,36.76,65,1,3,1,9.68,9.93,10.55,28.0,50.0,22.0,40.13,49.01,38.31,54.54,39.54,21.16,27.16,47.63,45.26,50.22,48.33,9,1,0,85.44,86,87.93,16.17,11.8,55.26,123,2,53.89,42.58,67.09,64.07,62.52,67.04,54.69,68.1,65.71,Balanced multi-format,87.42,16.95,65.08,Strong squad asset,59.58,C+,Development watchlist
6,75,Usama Abbasi,Pakistan,Yorkshire,RHB,Medium pace,Right,Utility,Flexible,179,73,2013,13,9,15,27,12,12,174,129.5,2.32,2.56,134.4,33.6,15.9,27.7,4,2,21.58,4.63,146,112.77,68.0,7.0,0.0,0.77,49,78,47,28.16,44.83,27.01,127.3,128.4,138.2,58.36,78.34,80.42,100.0,86.5,78.47,90.5,83.4,65.14,100.0,54.85,68.71,16,91.5,549,819.8,0.21,51.24,8.96,34.31,184,4,7,5,9.19,8.48,8.71,28.0,50.0,22.0,42.96,58.77,54.2,62.72,43.51,25.72,38.6,54.81,54.8,58.57,56.69,20,5,0,96.6,88,93.0,9.05,2.56,47.14,20,2,46.79,29.18,81.94,62.7,72.06,71.28,64.32,66.57,75.8,White-ball leaning,72.39,9.47,68.63,Strong squad asset,67.06,B,Monitor
7,117,Dushmantha Mathews,Sri Lanka,Essex,LHB,Right-arm off-spin,Left,Utility,Flexible,190,78,2012,14,15,23,42,18,19,1515,1344.3,12.95,14.29,112.7,32.6,22.0,333.3,43,27,19.2,5.21,1181,87.85,106.0,11.0,0.0,4.29,516,620,379,34.06,40.92,25.02,106.8,109.7,134.3,71.09,84.03,73.46,87.04,84.67,79.04,96.01,95.87,98.39,97.84,75.02,86.57,69,318.9,1913,2666.0,0.59,38.64,8.36,27.73,624,22,34,13,7.68,8.32,8.68,28.0,50.0,22.0,55.25,59.94,54.33,70.52,66.86,40.38,39.14,66.07,61.03,83.16,73.36,29,6,0,100.0,88,95.8,27.84,14.58,39.41,117,6,61.61,42.35,89.09,79.96,74.14,80.76,75.91,84.29,77.85,Balanced multi-format,85.82,5.71,78.78,High-value starter,77.97,B+,Shortlist
8,55,Kemar Shepherd,West Indies,Gloucestershire,RHB,Right-arm off-spin,Right,Bowler,Lower-order hitter,175,83,2016,10,7,9,17,9,13,431,355.0,7.84,8.29,121.4,33.4,18.8,81.0,14,4,19.72,5.07,351,98.87,52.0,3.0,0.0,2.49,179,182,70,41.53,42.23,16.24,116.7,118.9,120.2,52.68,66.48,80.37,94.72,73.8,70.58,93.59,83.58,79.98,93.39,63.09,74.89,67,288.2,1729,2046.0,1.22,30.54,7.1,25.81,577,30,25,12,6.83,7.47,7.54,28.0,50.0,22.0,64.67,68.12,65.7,88.64,95.23,50.89,48.17,84.79,74.62,100.0,89.85,14,4,0,90.55,84,82.67,37.89,8.62,30.64,74,13,55.19,52.42,73.55,70.37,69.86,79.18,82.41,81.42,73.19,Red-ball leaning,74.71,23.06,78.64,High-value starter,80.37,A,Shortlist
9,111,Jonny Salt,Bangladesh,Durham,LHB,Medium pace,Left,Utility,Flexible,186,67,2014,12,14,22,39,17,19,1486,1244.6,13.39,14.86,119.4,34.4,19.2,285.3,40,21,20.4,4.9,1200,96.42,100.0,11.0,0.0,4.46,665,341,480,44.75,22.95,32.3,116.7,110.5,128.8,59.28,76.5,81.3,85.09,83.41,74.96,100.0,87.7,98.04,97.29,76.96,87.32,21,124.7,748,1179.7,0.19,56.17,9.46,35.63,257,7,11,3,8.6,9.64,9.46,28.0,50.0,22.0,48.22,50.24,47.53,56.2,41.25,31.1,33.54,49.18,51.17,54.66,52.42,27,6,0,99.59,88,95.4,17.95,13.08,55.43,134,2,48.02,34.83,85.99,69.87,69.49,73.36,61.72,77.32,72.81,Balanced multi-format,87.2,6.97,70.31,Strong squad asset,67.06,B,Monitor
10,79,Zak Stokes,Afghanistan,Warwickshire,RHB,Right-arm pace,Right,Bowler,Lower-order hitter,171,72,2017,9,11,14,25,14,15,39,32.7,0.49,0.53,119.1,37.3,11.6,4.5,1,0,32.75,3.05,35,106.88,74.0,5.0,0.0,0.16,17,11,11,43.59,28.21,28.21,125.3,106.0,118.4,44.71,78.82,84.18,86.77,75.32,67.49,86.46,66.96,58.88,88.14,44.45,58.98,107,457.0,2742,3971.0,1.35,37.11,8.69,25.62,1023,41,38,28,8.05,8.75,9.74,28.0,50.0,22.0,57.09,61.49,48.61,68.72,100.0,39.7,37.57,77.5,58.77,100.0,84.07,19,5,0,90.26,84,84.27,35.12,0.47,36.0,5,12,32.44,53.24,78.82,59.52,64.66,73.42,78.43,77.9,60.54,Red-ball leaning,75.76,20.49,74.18,Strong squad asset,74.74,B+,Shortlist
11,111,Brydon Archer,Ireland,Somerset,LHB,Left-arm orthodox,Left,Utility,Flexible,182,77,2016,10,14,22,39,17,19,2743,1908.8,24.71,27.43,143.7,30.3,20.2,554.1,67,48,16.6,6.02,2187,114.57,100.0,11.0,54.86,8.23,1214,1115,414,44.26,40.65,15.09,147.5,142.3,172.5,69.17,64.19,95.81,100.0,100.0,87.75,100.0,100.0,100.0,100.0,100.0,100.0,24,136.7,820,1315.1,0.22,54.79,9.62,34.18,249,7,10,7,9.41,9.05,10.87,28.0,50.0,22.0,39.28,51.23,33.25,51.5,43.76,23.81,23.9,48.71,42.06,51.05,48.22,27,6,0,97.99,88,95.4,24.59,25.24,52.24,272,2,59.0,36.52,80.0,74.11,69.46,69.2,58.29,76.05,70.56,Balanced multi-format,88.0,9.07,68.17,Strong squad asset,64.3,C+,Monitor
12,108,Stuart Stokes,Zimbabwe,Kent,RHB,Medium pace,Right,Utility,Flexible,167,82,2017,9,14,21,38,17,18,566,571.1,5.24,5.84,99.1,28.2,13.4,75.8,10,6,35.7,2.8,490,85.79,97.0,11.0,0.0,1.75,144,229,193,25.44,40.46,34.1,102.9,79.7,105.1,51.69,84.88,69.57,71.41,70.04,65.92,79.14,66.38,69.81,79.11,50.54,62.5,95,419.6,2518,3512.1,0.88,36.97,8.37,26.5,710,40,30,25,7.89,8.15,8.96,28.0,50.0,22.0,52.02,57.29,50.67,67.74,80.47,39.95,37.78,69.06,57.84,94.86,79.15,27,6,0,92.8,88,95.2,28.6,5.48,34.63,45,9,37.88,54.03,85.62,70.83,66.27,72.89,76.9,74.29,67.81,Balanced multi-format,75.12,7.19,74.64,Strong squad asset,74.56,B+,Shortlist
13,6,Ruturaj Sharma,India,Sussex,LHB,Right-arm off-spin,Left,Bowler,Lower-order hitter,178,66,2023,3,0,1,1,1,3,13,10.0,2.17,2.17,130.3,39.1,11.8,1.5,0,0,0.0,0.0,13,130.3,6.0,0.0,0.0,0.0,5,6,2,38.46,46.15,15.38,129.4,130.2,145.0,61.96,64.77,83.87,100.0,86.14,78.39,100.0,76.71,66.73,98.77,53.34,68.05,6,26.2,157,228.2,1.0,38.03,8.71,26.2,61,2,3,1,7.74,8.73,9.44,28.0,50.0,22.0,59.54,63.35,50.8,69.52,85.8,41.01,37.23,73.37,60.47,100.0,83.46,3,0,0,100.0,86,81.4,27.86,2.08,34.99,20,11,45.43,59.9,62.65,63.75,66.18,72.72,76.02,70.15,62.18,Balanced multi-format,98.53,27.44,78.88,High-value starter,72.08,B+,Shortlist
14,97,Liam Salt,England,Surrey,RHB,Left-arm orthodox,Right,Utility,Flexible,189,71,2006,20,12,19,34,15,17,187,158.7,1.93,2.12,117.8,32.1,19.2,35.9,4,3,22.68,4.41,153,96.38,88.0,9.0,0.0,0.64,54,105,28,28.88,56.15,14.97,108.9,109.1,129.4,65.72,55.7,72.69,92.68,78.54,75.86,80.93,87.59,55.21,95.0,49.24,62.17,53,247.6,1485,2166.2,0.55,40.87,8.75,28.03,477,23,12,18,9.05,8.25,9.34,28.0,50.0,22.0,44.28,59.38,48.68,64.76,64.67,28.45,35.93,63.12,54.01,76.32,67.44,24,6,0,100.0,88,94.47,16.95,2.08,41.69,18,6,42.69,52.59,76.49,64.81,67.87,64.63,68.91,64.36,72.51,White-ball leaning,77.3,10.72,71.73,Strong squad asset,68.72,B,Monitor
15,26,Nathan Conway,Australia,Nottinghamshire,LHB,Right-arm pace,Left,Bowler,Lower-order hitter,174,76,2010,16,3,4,8,4,7,0,0.0,0.0,0.0,120.9,50.6,13.5,0.0,0,0,0.0,0.0,0,0.0,25.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,114.3,114.9,128.7,61.04,0.0,61.32,57.45,72.81,64.05,0.0,74.74,0.0,90.22,43.04,44.07,31,133.5,801,1151.1,1.19,37.13,8.62,25.85,405,10,14,7,8.31,8.9,9.27,28.0,50.0,22.0,62.19,72.49,58.22,77.68,94.12,36.29,43.45,81.88,67.0,100.0,87.22,8,1,0,87.52,82,78.73,30.82,0.0,37.25,0,11,36.24,47.97,42.95,53.65,57.03,47.82,73.03,70.2,64.01,Balanced multi-format,86.59,35.54,74.62,Strong squad asset,70.66,B,Monitor
16,99,Neil Sodhi,New Zealand,Hampshire,RHB,Right-arm off-spin,Right,Utility,Flexible,185,81,2008,18,12,19,35,15,18,2214,1403.9,22.36,24.6,157.7,21.0,20.8,460.5,63,35,14.33,6.98,1752,124.79,90.0,9.0,49.2,7.38,972,848,394,43.9,38.3,17.8,156.0,148.0,169.8,60.58,69.59,100.0,100.0,100.0,87.0,100.0,100.0,100.0,100.0,100.0,100.0,12,84.3,506,749.4,0.12,62.45,8.89,42.15,106,4,6,2,8.21,8.85,10.0,28.0,50.0,22.0,43.16,44.34,36.59,56.14,33.32,34.43,25.82,44.61,46.05,47.35,46.34,25,6,0,100.0,88,94.6,19.29,25.09,61.62,235,1,68.0,27.49,80.71,73.17,70.3,70.53,57.49,74.83,72.21,Balanced multi-format,80.14,9.18,66.09,Strong squad asset,63.9,C+,Monitor
