player_id,player,role,age,bat_hand,bowl_type,is_spinner,is_pacer,is_overseas,injury_risk,is_pp_bowler,is_death_bowler,is_pp_batter,is_death_hitter
1,Ravindra Varma,AR,24,L,SPIN,1,0,0,0.305,0,0,0,0
2,Dom Woakes,BOWL,35,R,PACE,0,1,0,0.743,1,1,0,0
3,Cameron Zampa,AR,18,R,PACE,0,1,0,0.416,1,1,0,1
4,Mitchell Tickner,BOWL,27,L,SPIN,1,0,0,0.436,1,0,0,0
5,Gerald Elgar,BAT,34,R,,0,0,0,0.488,0,0,0,0
6,Usama Abbasi,WK,38,L,,0,0,0,0.548,0,0,0,0
7,Dushmantha Mathews,AR,23,R,SPIN,1,0,0,0.238,1,0,0,0
8,Kemar Shepherd,AR,31,R,PACE,0,1,0,0.525,1,0,0,0
9,Jonny Salt,BAT,21,R,,0,0,0,0.35,0,0,0,0
10,Zak Stokes,BOWL,20,L,PACE,0,1,0,0.432,1,0,0,0
11,Brydon Archer,BAT,25,R,,0,0,1,0.433,0,0,1,1
12,Stuart Stokes,AR,36,L,PACE,0,1,0,0.723,1,1,0,0
13,Ruturaj Sharma,BOWL,32,L,PACE,0,1,0,0.266,0,0,0,0
14,Liam Salt,AR,28,R,SPIN,1,0,0,0.524,0,0,0,0
15,Nathan Conway,BOWL,23,R,SPIN,1,0,0,0.274,0,0,0,0
16,Neil Sodhi,BAT,20,R,,0,0,0,0.39,0,0,1,1
17,Faf Parnell,BOWL,23,L,PACE,0,1,0,0.484,0,1,0,0
18,Saim Aslam,BAT,21,R,,0,0,0,0.323,0,0,0,0
19,Niroshan Udana,AR,21,R,SPIN,1,0,0,0.148,0,0,0,0
20,Fabian Thomas,BOWL,32,R,PACE,0,1,0,0.581,1,1,0,0
21,Jonny Anderson,BOWL,20,R,SPIN,1,0,1,0.239,1,0,0,0
22,Jofra Brook,BAT,18,L,,0,0,0,0.283,0,0,0,0
23,Zak Curran,WK,29,R,,0,0,1,0.389,0,0,0,0
24,Harry Ali,AR,24,R,SPIN,1,0,0,0.287,0,0,0,0
25,Shreyas Dube,AR,27,R,PACE,0,1,1,0.509,0,0,0,0
26,Jack Ali,BAT,20,R,,0,0,0,0.299,0,0,0,0
27,Alex Zampa,BOWL,22,R,PACE,0,1,0,0.435,1,1,0,0
28,Tom Phillips,BAT,27,L,,0,0,0,0.231,0,0,1,1
29,Wayne Ngidi,BAT,32,R,,0,0,0,0.381,0,0,1,1
30,Agha Afridi,BOWL,26,R,PACE,0,1,0,0.563,0,0,0,0
31,Suranga Karunaratne,BOWL,29,L,PACE,0,1,0,0.446,1,1,0,0
32,Kavem Gayle,WK,28,R,,0,0,0,0.365,0,0,0,0
33,Jos Ali,BAT,23,R,,0,0,0,0.399,0,0,0,0
34,Ollie Buttler,BAT,23,R,,0,0,1,0.266,0,0,0,1
35,Ben Broad,BOWL,26,L,PACE,0,1,0,0.45,1,1,0,0
36,Matt Wood,BAT,18,R,,0,0,0,0.283,0,0,1,1
37,Shreyas Bishnoi,BAT,32,R,,0,0,0,0.528,0,0,1,1
38,Moeen Archer,BOWL,30,R,PACE,0,1,0,0.563,1,1,0,0
39,David Hazlewood,BAT,24,R,,0,0,1,0.21,0,0,1,1
40,Daryl Chapman,BOWL,25,R,PACE,0,1,0,0.467,1,1,0,0
41,Heinrich Shamsi,BOWL,24,R,PACE,0,1,0,0.581,0,0,0,0
42,Tayyab Gul,AR,31,L,PACE,0,1,0,0.496,0,0,0,0
43,Lahiru Chameera,BOWL,33,L,PACE,0,1,0,0.614,1,1,0,0
44,Darren Brooks,BAT,20,R,,0,0,0,0.162,0,0,0,0
45,Moeen Sibley,AR,26,L,PACE,0,1,1,0.357,0,0,0,0
46,Zak Carse,AR,18,L,SPIN,1,0,0,0.266,0,0,0,0
47,Jamie Lawrence,BOWL,27,R,PACE,0,1,0,0.539,0,1,0,0
48,Sam Sibley,BAT,23,R,,0,0,0,0.371,0,0,0,0
49,Suryakumar Sharma,BOWL,25,L,SPIN,1,0,0,0.403,0,0,0,0
50,Jamie Brook,BAT,27,R,,0,0,1,0.263,0,0,1,1
51,Alex Turner,BAT,24,L,,0,0,0,0.29,0,0,1,1
52,Kane Ravindra,BAT,26,R,,0,0,0,0.38,0,0,0,0
53,Heinrich Williams,AR,34,R,SPIN,1,0,0,0.672,1,1,0,0
54,Usama Aslam,BOWL,35,L,PACE,0,1,0,0.663,1,1,0,0
55,Akila Kumara,BOWL,18,R,SPIN,1,0,0,0.209,1,1,0,0
56,Shimron Hetmyer,AR,25,R,PACE,0,1,0,0.686,1,1,0,0
57,Joe Anderson,BOWL,35,R,PACE,0,1,1,0.518,0,0,0,0
